place_id,place_name,category,preference_tags,avoid_tags,summary,embedding_text,evidence_text_1,evidence_text_2,evidence_text_3,evidence_text_4,evidence_text_5
POHANG_011,국립등대박물관,,,,"국내 유일의 등대 전문 박물관으로, 호미곶 인근에 자리합니다.",국립등대박물관 포항 호미곶 등대역사,우리나라 등대의 역사와 해양 항로표지 문화를 소개하는 국내 유일의 등대 전문 박물관입니다.,실제 등대 렌즈와 관련 유물을 마주하면 오랜 바닷길을 지켜온 이야기에 몰입하게 됩니다.,"전시 관람, 등대 역사 학습, 호미곶 연계 답사에 좋습니다.",옛 등대 렌즈와 항로표지 유물이 대표 볼거리입니다.,해양 역사에 관심 있는 여행객과 가족 단위 여행객에게 특히 맞습니다.
POHANG_012,운제산 오어사,,,,"저수지 위에 자리한 고찰로, 원효대사 관련 설화가 전하는 사찰입니다.",오어사 운제산 포항 고찰 저수지,"원효대사와 자장율사가 수도했다고 전하는 고찰로, 오어지 저수지를 끼고 자리해 있습니다.",저수지 물 위에 비친 사찰 전경이 고요하고 신비로운 산사의 정취를 자아냅니다.,"사찰 경내 관람, 운제산 등산, 저수지 산책에 좋습니다.",저수지에 비친 사찰 반영 풍경이 대표 볼거리입니다.,고즈넉한 산사와 전설에 관심 있는 여행객에게 특히 맞습니다.
POHANG_013,포스코역사관,,,,한국 철강 산업의 역사를 소개하는 전시관입니다.,포스코역사관 포항 철강산업 역사,"포항제철(현 포스코)의 설립과 성장 과정을 소개하는 전시관으로, 한국 산업화의 상징적 역사를 다룹니다.",당대 산업 역군들의 노력을 보여주는 전시물이 진지하고 뭉클한 감동을 선사합니다.,"전시 관람, 산업 역사 학습에 좋습니다.",포항제철 설립 초기 자료와 유물이 대표 볼거리입니다.,산업사와 근현대사에 관심 있는 여행객에게 특히 맞습니다.
POHANG_014,구룡포해수욕장,,,,구룡포항 인근에 자리한 조용한 해수욕장입니다.,구룡포해수욕장 포항 백사장 어촌,"구룡포 어항과 인접한 해수욕장으로, 근대역사문화거리와 함께 둘러보기 좋습니다.",한적한 백사장과 어촌 풍경이 어우러져 소박하고 편안한 여름의 정취를 자아냅니다.,"해수욕, 구룡포 거리 연계 답사에 좋습니다.",고운 백사장과 어항 풍경이 대표 볼거리입니다.,가족 단위 해수욕객에게 특히 맞습니다.
POHANG_015,장기유배문화체험촌,,,,조선시대 유배문화를 소개하고 체험할 수 있는 마을입니다.,장기유배문화체험촌 포항 유배문화 체험,조선시대 정약용·송시열 등이 유배 생활을 했던 장기면 일대의 역사를 소개하는 체험형 문화촌입니다.,복원된 유배지 초가와 체험 공간이 소박하고 애잔한 유배 생활의 정취를 자아냅니다.,"유배문화 체험, 전통가옥 관람, 역사 학습에 좋습니다.",복원된 유배지 초가와 전시관이 대표 볼거리입니다.,역사와 인문학에 관심 있는 여행객에게 특히 맞습니다.
POHANG_016,호미반도해안둘레길,,,,호미곶 일대 해안을 따라 걷는 둘레길입니다.,호미반도해안둘레길 포항 해안트레킹 절경,"호미곶에서 대보항 일대까지 이어지는 해안 산책로로, 기암과 바다 전망을 감상하며 걸을 수 있습니다.",파도 소리를 벗 삼아 걷는 해안길이 상쾌하고 여유로운 트레킹의 즐거움을 선사합니다.,"해안 트레킹, 일출 감상, 사진 촬영에 좋습니다.",기암 해안과 이어지는 산책로가 대표 볼거리입니다.,가벼운 해안 트레킹을 좋아하는 여행객에게 특히 맞습니다.
POHANG_017,포항 냉수리 신라비,,,,신라시대 재산 상속 분쟁을 기록한 국보 지정 비석입니다.,포항냉수리신라비 국보 신라비석 금석문,"1989년 신광면에서 발견된 신라시대 석비로, 절거리라는 인물의 재산 상속 판결을 기록한 공문서 성격의 비석이며 1991년 국보 제264호로 지정되었습니다.",우연히 밭에서 발굴된 소박한 돌덩이가 신라의 법 제도를 증언하는 귀중한 사료라는 사실이 깊은 역사적 경외감을 자아냅니다.,"비각 관람, 금석문 학습에 좋습니다.",비면에 새겨진 신라시대 판결 기록이 대표 볼거리입니다.,역사와 금석학에 관심 있는 여행객에게 특히 맞습니다.
POHANG_018,연오랑세오녀테마공원,,,,삼국유사에 기록된 연오랑세오녀 설화를 테마로 조성된 해안 공원입니다.,연오랑세오녀테마공원 포항 설화 해안공원,"우리나라 유일의 일월신화로 꼽히는 연오랑세오녀 설화를 테마로 조성된 공원으로, 전시관 귀비고와 영일만을 조망하는 일월대가 있습니다.",기암절벽 위 일월대에서 바라보는 영일만 노을과 야경이 신비로운 설화 속 정취를 함께 자아냅니다.,"전시관 관람, 해안 산책, 일월대 조망에 좋습니다.","일월대와 신라마을, 거북바위가 대표 볼거리입니다.",설화와 해안 경관을 함께 즐기려는 여행객에게 특히 맞습니다.
POHANG_019,이가리 닻전망대,,,,닻 모양으로 바다 위에 조성된 해안 전망대입니다.,이가리닻전망대 포항 해안전망대 포토존,"이가리해변 인근 해안 절벽 위에 닻 모양으로 조성된 전망대로, 소나무숲과 어우러진 동해 절경으로 알려져 있습니다.",짙푸른 소나무 사이로 트인 새하얀 닻 모양 전망대가 이국적이고 산뜻한 개방감을 선사합니다.,"전망대 산책, 사진 촬영, 해안 드라이브에 좋습니다.",소나무숲과 어우러진 닻 모양 전망대가 대표 볼거리입니다.,사진 촬영과 해안 드라이브를 좋아하는 여행객에게 특히 맞습니다.
POHANG_020,포항함 체험관,,,,퇴역한 해군 함정을 활용해 조성한 체험형 전시관입니다.,포항함체험관 포항 퇴역함정 해군체험,실제 퇴역한 해군 함정을 개방해 함내 시설과 장비를 둘러볼 수 있도록 조성한 체험형 전시관입니다.,함내 좁은 통로와 장비들을 직접 둘러보면 해군 승조원들의 생활을 실감나게 느끼게 됩니다.,"함정 내부 관람, 해군 역사 학습, 영일대 연계 산책에 좋습니다.",실제 함정 갑판과 조타실 등 내부 시설이 대표 볼거리입니다.,아이를 동반한 가족 여행객과 군사·해양 역사에 관심 있는 여행객에게 특히 맞습니다.
